from type -> to type,connections,synapses
Lat -> Dm20,1,2
Lat -> Sm07,1,2
Lat -> Sm23,1,2
Lat -> Sm39,1,2
Sm18 -> cM01b,1,2
Sm04 -> Pm08,1,2
Pm07 -> Dm20,1,2
TmY4 -> LTe17,1,2
LPi11 -> TmY16,1,2
Y11 -> LT80,1,2
Y11 -> LC26,1,2
Mi14 -> MTe44,1,2
Tm8a -> Sm23,1,2
Tm8a -> LTe06,1,2
Tm5e -> LTe55,1,2
Sm08 -> Sm10,1,2
Sm29 -> Sm39,1,2
Sm29 -> MeTu4c,1,2
Sm29 -> Tm34,1,2
Sm29 -> Tm3,1,2
Sm29 -> Sm23,1,2
Li30 -> aMe20,1,2
Li30 -> LTe35,1,2
Li30 -> TmY14,1,2
Li30 -> LCe05,1,2
Li30 -> cL08,1,2
Li30 -> CB0472,1,2
Li30 -> 5-HTPMPV03,1,2
Li30 -> Tm35,1,2
Li30 -> LTe57,1,2
Li30 -> Tlp5,1,2
Li30 -> cM08a,1,2
Li30 -> MeTu4a,1,2
Li30 -> Li04,1,2
Li30 -> LTe60,1,2
Li30 -> cLPL01,1,2
Li30 -> LLPC1,1,2
Li30 -> Y11,1,2
Li30 -> Li16,1,2
Li30 -> LCe09,1,2
Li30 -> LCe01b,1,2
Li30 -> LC17,1,2
Li30 -> cL22b,1,2
Li30 -> LPT31,1,2
Li30 -> LTe36,1,2
Li30 -> Y4,1,2
Li30 -> LCe04,1,2
Li30 -> mALC5,1,2
Li30 -> Tm34,1,2
Li30 -> LLPC3,1,2
Li30 -> LC25,1,2
Li30 -> LTe26,1,2
Li30 -> Tm33,1,2
TmY4 -> LTe47,1,2
Tm37 -> LTe08,1,2
Sm29 -> MeTu2a,1,2
Sm29 -> MTe11,1,2
Sm29 -> Sm10,1,2
Sm29 -> MTe26,1,2
Tlp4 -> Y4,1,2
Tlp4 -> LT74,1,2
LLPt -> LTe20,1,2
Mi14 -> MTe13,1,2
Mi14 -> Tm36,1,2
Tm5e -> cL01,1,2
TmY11 -> LTe16,1,2
LMt3 -> LC6,1,2
LMt3 -> Li01,1,2
MLt2 -> LC10a,1,2
Li31 -> LT53,1,2
Li31 -> LC36,1,2
Li31 -> Tm31,1,2
Li31 -> LPLC4,1,2
Li31 -> cML01,1,2
Li31 -> LC10e,1,2
Li31 -> TmY16,1,2
Li31 -> T3,1,2
Li31 -> LT59,1,2
Li31 -> Li09,1,2
Li31 -> cL16,1,2
Li31 -> LLPC1,1,2
Li31 -> Tm35,1,2
Li31 -> Y1,1,2
Li31 -> LT76,1,2
Li31 -> LCe08,1,2
Li31 -> LT56,1,2
Li31 -> LT69,1,2
Li31 -> LPLC2,1,2
Li31 -> Li13,1,2
Li31 -> LCe09,1,2
Li31 -> LT42,1,2
Li31 -> Tm4,1,2
Li31 -> TmY9q⊥,1,2
Li31 -> LT33,1,2
Li31 -> cL21,1,2
Li31 -> Tm27,1,2
Li31 -> LTe33,1,2
Li31 -> OA-AL2i1,1,2
Tm35 -> Tm21,1,2
LPi11 -> T4b,1,2
LPi11 -> T5a,1,2
L2 -> TmY9q,1,2
T5c -> Tm5e,1,2
MLt8 -> MeTu3a,1,2
Dm11 -> TmY20,1,2
Dm11 -> Mi1,1,2
LPi09 -> OA-AL2i1,1,2
LPi11 -> VS5,1,2
T1 -> Tm3,1,2
L4 -> Sm03,1,2
LLPt -> LPTe02,1,2
LPi05 -> Nod2,1,2
LPi05 -> LPi11,1,2
Y12 -> Tm5d,1,2
Tm5a -> MTe08,1,2
Tm8a -> MTe44,1,2
Mi15 -> cL10,1,2
Tm16 -> CB3866,1,2
Tm3 -> LT40,1,2
Sm02 -> MeTu4c,1,2
LPi03 -> LPi14,1,2
LPi03 -> uncertain,1,2
LPi03 -> Am1,1,2
T5c -> LPT51,1,2
Y12 -> MTe33,1,2
Y12 -> LT75,1,2
LMa3 -> LPT26,1,2
Pm07 -> cLLPM02,1,2
Pm07 -> Sm36,1,2
Y4 -> OA-AL2i2,1,2
Li01 -> LC17,1,2
Dm8b -> MeMe_e09,1,2
T4d -> LPT57,1,2
Tm5b -> T5a,1,2
Sm20 -> Dm20,1,2
Sm20 -> Sm23,1,2
Tm8a -> MTe28,1,2
Tm9 -> Dm16,1,2
Lawf2 -> Y11,1,2
Lawf2 -> Pm06,1,2
Dm3p -> Dm11,1,2
MLt8 -> LTe45,1,2
Tm20 -> aMe6a,1,2
T1 -> Dm1,1,2
Mi4 -> MTe40,1,2
Tm33 -> MTe53,1,2
Tm5c -> Tm2,1,2
LPi01 -> LPC1,1,2
Tm8a -> Sm34,1,2
Sm09 -> cM08c,1,2
Sm09 -> MTe45,1,2
Dm10 -> LMa4,1,2
Sm26 -> Tm25,1,2
Sm26 -> Sm40,1,2
Sm26 -> Sm16,1,2
Dm3q -> Sm03,1,2
Sm05 -> MeTu3a,1,2
Tm1 -> LT82a,1,2
TmY20 -> Sm32,1,2
R8 -> aMe3,1,2
Li17 -> Li18,1,2
Tm25 -> CB0566,1,2
Tm5e -> LMt3,1,2
Sm22 -> Lawf2,1,2
Sm22 -> T3,1,2
Sm08 -> aMe17a1,1,2
TmY11 -> Mi15,1,2
Tm7 -> Tm4,1,2
Tm7 -> L3,1,2
Tm7 -> MTe31,1,2
Y3 -> MeMe_e07,1,2
Sm14 -> MTe23,1,2
Sm14 -> cM02b,1,2
Sm14 -> Sm25,1,2
Tlp1 -> Tm5a,1,2
Tlp1 -> LPT54,1,2
Pm10 -> Tm36,1,2
Mi2 -> Tm5a,1,2
T5a -> Tm5b,1,2
MLt7 -> Dm2,1,2
MLt7 -> Sm05,1,2
MLt7 -> LC10b,1,2
Tm3 -> MeTu4a,1,2
MLt3 -> LT64,1,2
Dm4 -> 5-HTPMPV03,1,2
Dm4 -> TmY5a,1,2
TmY4 -> LPi02,1,2
Sm09 -> cM12,1,2
LLPt -> LPi01,1,2
LMa5 -> MTe03,1,2
LMt1 -> cL08,1,2
Li05 -> PLP068,1,2
Li05 -> aMe17a2,1,2
Tlp4 -> Li33,1,2
Tlp4 -> LTe52,1,2
Tlp4 -> Tm5e,1,2
Y12 -> LT47,1,2
TmY3 -> mALC3,1,2
TmY14 -> LPi08,1,2
TmY9q⊥ -> Sm14,1,2
TmY9q⊥ -> Sm02,1,2
Tm8a -> cL02a,1,2
Li01 -> OA-ASM1,1,2
Y3 -> Li26,1,2
Tm8b -> cM07,1,2
Tm8b -> CB0816,1,2
Tm8b -> mALD1,1,2
T5d -> T3,1,2
Y3 -> LTe01,1,2
T2a -> Sm20,1,2
TmY31 -> Sm38,1,2
Mi14 -> Mi15,1,2
Mi14 -> MeMe_e07,1,2
DmDRA1 -> MTe51,1,2
MLt4 -> cM08b,1,2
Y4 -> Pm13,1,2
Tm20 -> cLLPM01,1,2
Li01 -> LTe37,1,2
Tm4 -> aMe12,1,2
TmY20 -> CB0592,1,2
Dm18 -> cM05,1,2
Mi4 -> aMe12,1,2
Dm2 -> cM15,1,2
Tlp5 -> LTe11,1,2
Tlp5 -> LCe06,1,2
Tlp5 -> LT77,1,2
Tlp5 -> LPT49,1,2
T5a -> Li31,1,2
TmY16 -> LTe31,1,2
TmY31 -> Pm04,1,2
MLt2 -> LTe38c,1,2
MLt2 -> Tm4,1,2
T5d -> Li31,1,2
TmY5a -> LPT27,1,2
LPi01 -> T5d,1,2
Sm21 -> LT76,1,2
Sm21 -> Pm10,1,2
Sm21 -> LTe76,1,2
Sm21 -> MTe01a,1,2
Sm21 -> LC28a,1,2
Sm21 -> LT57,1,2
Sm21 -> TmY11,1,2
Sm21 -> Tm35,1,2
Sm21 -> MTe40,1,2
Sm21 -> Li13,1,2
T5b -> cMLLP02,1,2
R7 -> CB0816,1,2
TmY11 -> LCe01a,1,2
LMt2 -> MTe08,1,2
LMt2 -> TmY3,1,2
LMt2 -> LC14a2,1,2
Y4 -> LPT30,1,2
MLt7 -> LC39,1,2
Tm33 -> Tm1,1,2
Dm8b -> Tm9,1,2
Sm26 -> R7,1,2
Sm26 -> Mi9,1,2
Sm26 -> Mi10,1,2
Dm2 -> aMe17b,1,2
Mi10 -> Sm28,1,2
Tlp1 -> LTe08,1,2
Dm11 -> MTe02,1,2
TmY5a -> LT38,1,2
Sm08 -> cM05,1,2
Tm36 -> MTe14,1,2
Tm36 -> MTe32,1,2
Tm9 -> Y4,1,2
Li10 -> LLPC4,1,2
TmY11 -> LT66,1,2
Tm5e -> DNp27,1,2
LPi04 -> MeLp2,1,2
Li02 -> LC46,1,2
Li02 -> Tm37,1,2
T4b -> LPTe01,1,2
MLt6 -> LC40,1,2
MLt6 -> Pm05,1,2
MLt6 -> Sm03,1,2
MLt6 -> LC10d,1,2
MLt6 -> LC17,1,2
MLt6 -> LT84,1,2
MLt6 -> MeTu4a,1,2
C2 -> Tm5b,1,2
Tm21 -> LT62,1,2
Tm4 -> Tm8b,1,2
Tm5c -> cM08c,1,2
Sm07 -> MLt4,1,2
Sm01 -> MLt2,1,2
Sm30 -> MTe37,1,2
Sm30 -> MeTu4d,1,2
Sm30 -> aMe3,1,2
Dm14 -> aMe17a2,1,2
Sm17 -> Sm43,1,2
Tm2 -> cM05,1,2
Li05 -> cL08,1,2
Li05 -> aMe20,1,2
Li05 -> LT55,1,2
Li25 -> Tm5e,1,2
Li25 -> LC17,1,2
Li25 -> LC29,1,2
Li25 -> LT51,1,2
Li25 -> LT66,1,2
Li25 -> Tm5f,1,2
Mi14 -> Tm5c,1,2
Tm21 -> LLPC1,1,2
MLt4 -> Pm06,1,2
Li12 -> LTe54,1,2
Li12 -> LTe55,1,2
Tm21 -> LT52,1,2
TmY3 -> MTe08,1,2
MLt7 -> LT51,1,2
Y3 -> OA-AL2i4,1,2
Tm37 -> LT76,1,2
Tm5d -> LMa3,1,2
Tm5e -> MeMe_e08,1,2
T3 -> MTe54,1,2
Pm04 -> Tlp4,1,2
Tm5e -> LT47,1,2
T4d -> MeMe_e08,1,2
Pm05 -> LMt4,1,2
L4 -> Dm3p,1,2
TmY31 -> MTe22,1,2
Li05 -> LMt1,1,2
Li05 -> Li17,1,2
Sm32 -> Sm05,1,2
Tlp1 -> Li01,1,2
Tlp1 -> Tm37,1,2
Tm25 -> LC14a1,1,2
Sm34 -> aMe17a2,1,2
Sm34 -> MLt7,1,2
Sm34 -> MeTu2a,1,2
TmY4 -> VS3,1,2
Sm18 -> 5-HTPMPV03,1,2
Sm18 -> Tm5e,1,2
Sm18 -> MTe17,1,2
Sm18 -> MeTu4d,1,2
Sm18 -> Sm22,1,2
Sm12 -> Dm3p,1,2
Sm12 -> MTe29,1,2
Tm5b -> MeMe_e09,1,2
Tm8b -> Mi9,1,2
Tm8b -> T2a,1,2
Tm8b -> MeTu3b,1,2
TmY5a -> LPT21,1,2
Tm16 -> LTe62,1,2
Li12 -> LT80,1,2
Li12 -> Li16,1,2
Tlp5 -> LPT48_vCal3,1,2
Tm3 -> aMe3,1,2
TmY9q -> Pm02,1,2
LPi06 -> TmY9q,1,2
LPi06 -> Tm5c,1,2
MLt5 -> MeTu2b,1,2
MLt5 -> MTe11,1,2
T5d -> mALC3,1,2
LPi07 -> HSE,1,2
Tm5b -> cL18,1,2
Tm8a -> Sm12,1,2
Mi2 -> MTe02,1,2
LPi01 -> TmY20,1,2
LPi01 -> LPi03,1,2
Sm26 -> MTe06,1,2
Tm5e -> LT79,1,2
TmY4 -> Dm8a,1,2
TmY4 -> mALC5,1,2
Tm21 -> MTe53,1,2
Tm5d -> MTe18,1,2
Tm5d -> MTe51,1,2
Mi14 -> aMe17c,1,2
Sm26 -> Sm34,1,2
Tm9 -> Dm1,1,2
Dm3v -> MTe44,1,2
MLt2 -> Y11,1,2
LMa1 -> Tm3,1,2
LMa1 -> Li12,1,2
Mi10 -> Sm17,1,2
LPi03 -> Tlp14,1,2
Dm10 -> TmY20,1,2
Li02 -> LT80,1,2
Sm10 -> MTe23,1,2
Sm10 -> PDt,1,2
Tm33 -> cL17,1,2
TmY9q⊥ -> LC22,1,2
Tm5e -> cL06,1,2
Tlp1 -> LC28a,1,2
Tlp1 -> Tm31,1,2
MLt3 -> MTe42,1,2
LMa1 -> Pm14,1,2
LMa1 -> LLPC3,1,2
LMa1 -> Dm20,1,2
LMa1 -> Li18,1,2
TmY15 -> LC43,1,2
Y1 -> LPT31,1,2
Dm16 -> Dm20,1,2
MLt8 -> TmY5a,1,2
MLt8 -> Sm08,1,2
MLt8 -> Sm42,1,2
MLt8 -> Li12,1,2
MLt8 -> LTe11,1,2
MLt8 -> MLt5,1,2
Tm21 -> Dm9,1,2
Tm21 -> MTe28,1,2
Li04 -> MeTu4c,1,2
Dm2 -> cML01,1,2
Sm02 -> Y1,1,2
Li02 -> LT63,1,2
Pm01 -> Y4,1,2
LMt4 -> MLt2,1,2
TmY16 -> MTe34,1,2
Tm37 -> TmY11,1,2
Li32 -> LLPC1,1,2
Li32 -> DNp27,1,2
Li32 -> LLPC2,1,2
Li32 -> mALC5,1,2
Li32 -> cML01,1,2
Li32 -> LT41,1,2
Li32 -> CB3089,1,2
Li32 -> LTe26,1,2
Li32 -> LT37,1,2
Li32 -> LT61b,1,2
Li32 -> Tm27,1,2
Li32 -> MLt6,1,2
Li32 -> cL14,1,2
Li32 -> LT64,1,2
Li32 -> TmY16,1,2
Li32 -> LC31b,1,2
Li32 -> Tm5c,1,2
Li32 -> LTe55,1,2
Li32 -> LCe08,1,2
Li32 -> Tm5d,1,2
Li32 -> cM10,1,2
Li32 -> LT53,1,2
Li32 -> LC10c,1,2
Li32 -> Li18,1,2
Li32 -> Li16,1,2
Li32 -> Tm16,1,2
Li32 -> cL02a,1,2
Li32 -> LT85,1,2
Li32 -> LC4,1,2
Y4 -> LTe13,1,2
Tm37 -> Sm12,1,2
Tm8a -> LT37,1,2
Tm8a -> Tm5b,1,2
T2 -> LC10a,1,2
Sm01 -> MLt1,1,2
Pm05 -> OA-AL2i1,1,2
Tm8b -> LTe37,1,2
LPi09 -> LLPC1,1,2
Sm43 -> Sm15,1,2
MLt4 -> cM08a,1,2
Dm8b -> Sm13,1,2
LMa2 -> Sm07,1,2
Tm20 -> LTe21,1,2
R7 -> MeMe_e05,1,2
uncertain -> LMt1,1,2
Tm16 -> LCe07,1,2
Tm16 -> LT37,1,2
T5a -> T2a,1,2
T5a -> T3,1,2
Sm10 -> aMe17a1,1,2
Sm10 -> aMe17a2,1,2
TmY11 -> MTe39,1,2
Tm7 -> aMe10,1,2
T5d -> Y4,1,2
Tm32 -> Sm23,1,2
Y4 -> cLLPM02,1,2
Sm03 -> MTe08,1,2
Y12 -> Nod2,1,2
Sm13 -> cM08b,1,2
Sm13 -> Sm20,1,2
Sm13 -> Sm26,1,2
Sm21 -> MeTu3c,1,2
Sm21 -> MTe03,1,2
R8 -> Mi2,1,2
Li01 -> Y11,1,2
Lai -> Dm8a,1,2
uncertain -> cL08,1,2
Tm8b -> T2,1,2
Tm8b -> Sm34,1,2
Tm8b -> LT85,1,2
T4a -> cM06,1,2
TmY4 -> Mi14,1,2
TmY16 -> MLt3,1,2
Tm5a -> cL02b,1,2
Tm8a -> MTe14,1,2
Li06 -> LTe65,1,2
TmY3 -> cL02c,1,2
Mi9 -> MeTu1,1,2
Tm20 -> LT64,1,2
TmY31 -> LC10f,1,2
MLt7 -> MTe15,1,2
MLt7 -> LPLC1,1,2
MLt7 -> LTe43,1,2
MLt7 -> Tm5a,1,2
MLt7 -> MTe22,1,2
Li02 -> LTe09,1,2
Li08 -> LC29,1,2
Lawf1 -> Dm4,1,2
LPi11 -> TmY9q⊥,1,2
Li06 -> Y11,1,2
Li06 -> LC4,1,2
Li06 -> cMLLP01,1,2
Pm05 -> MTe46,1,2
MTe04 -> MeTu1,1,2
cLP01 -> Nod1,1,2
LC13 -> cL02c,1,2
LC13 -> LPLC1,1,2
LC4 -> LMt2,1,2
LC4 -> LC29,1,2
LC4 -> Tm31,1,2
LC10e -> LC14a1,1,2
LC41 -> LTe16,1,2
LC41 -> cL05,1,2
LC41 -> LTe17,1,2
MeTu4c -> MTe23,1,2
LTe48 -> Tm32,1,2
LTe48 -> LC10b,1,2
LC13 -> Tm34,1,2
LC15 -> Tm36,1,2
LC15 -> LTe59,1,2
MeTu3b -> aMe10,1,2
LC6 -> LC33a,1,2
LCe03 -> Li03,1,2
LTe31 -> LC17,1,2
LTe31 -> TmY31,1,2
LTe31 -> LC25,1,2
LTe31 -> cL16,1,2
LTe31 -> Tm5d,1,2
LTe31 -> LC20b,1,2
LTe38a -> LT57,1,2
LTe38a -> Li12,1,2
LTe38a -> LTe16,1,2
LPLC4 -> Tm16,1,2
LTe58 -> LC33a,1,2
LTe58 -> LTe42a,1,2
LTe58 -> LC41,1,2
LC11 -> LPLC2,1,2
MTe04 -> Pm13,1,2
LC33a -> LT72,1,2
LLPC2 -> Li17,1,2
LT55 -> TmY10,1,2
LT55 -> Li31,1,2
LT55 -> LPLC4,1,2
LT55 -> Li33,1,2
LT55 -> aMe20,1,2
LT55 -> LTe23,1,2
LT55 -> LT52,1,2
LT55 -> aMe17a2,1,2
LC9 -> Tm20,1,2
LC9 -> cM07,1,2
MTe54 -> cM17,1,2
MTe54 -> Y4,1,2
cM12 -> Sm02,1,2
cM12 -> Sm03,1,2
cM12 -> Sm04,1,2
cM12 -> MTe12,1,2
cM12 -> Sm01,1,2
cM12 -> cLLPM01,1,2
cM12 -> Tm8a,1,2
cM12 -> Sm06,1,2
cM12 -> Tm37,1,2
cM12 -> Sm31,1,2
cM12 -> TmY31,1,2
cM12 -> Y1,1,2
cM12 -> Mi14,1,2
cM12 -> cM08b,1,2
cM12 -> MTe26,1,2
cM12 -> Pm14,1,2
cM12 -> Mi13,1,2
cM12 -> MTe25,1,2
cM12 -> Tm5e,1,2
cM12 -> MeMe_e10,1,2
cM12 -> MTe51,1,2
cM12 -> MeTu3c,1,2
MeTu2a -> Sm03,1,2
LC9 -> Tm16,1,2
LC9 -> LT84,1,2
LC9 -> LT57,1,2
LC10d -> Tm5c,1,2
LC15 -> LT62,1,2
LC39 -> cL04,1,2
LC39 -> LC20a,1,2
LC39 -> LT82a,1,2
LC39 -> LC10d,1,2
LC39 -> LMa4,1,2
LC39 -> LC12,1,2
LC39 -> TmY5a,1,2
LLPC2 -> cL18,1,2
MTe51 -> Pm09,1,2
LC21 -> Tm5a,1,2
MTe52 -> LMt3,1,2
LC46 -> LT63,1,2
LC46 -> LC10d,1,2
LC14b -> LT86,1,2
LC14b -> mALC4,1,2
LC14b -> LT82a,1,2
LCe01b -> LT53,1,2
uncertain -> LPT22,1,2
LC20b -> LTe26,1,2
LC20b -> LC31a,1,2
uncertain -> LC12,1,2
LC20a -> Tm5e,1,2
LC20a -> LC44,1,2
LC20a -> LTe74,1,2
LC20a -> Y11,1,2
LC10c -> LLPC1,1,2
LC10e -> LTe52,1,2
LLPC3 -> LPi01,1,2
LLPC3 -> LMt4,1,2
LC28a -> Y11,1,2
LC28a -> Tm35,1,2
MTe01b -> Sm34,1,2
MTe01b -> Pm14,1,2
LC11 -> Y1,1,2
LTe04 -> Li11,1,2
LTe04 -> LTe59,1,2
LTe04 -> cM09,1,2
LTe04 -> LT53,1,2
LTe04 -> cL12,1,2
LTe04 -> LC46,1,2
LTe04 -> LT63,1,2
LTe04 -> Li01,1,2
LTe04 -> LTe22,1,2
MeLp1 -> LPi11,1,2
MeLp1 -> Y3,1,2
MeLp1 -> vCal1,1,2
MeLp1 -> LPTe02,1,2
MeLp1 -> Y4,1,2
MeLp1 -> Y12,1,2
MeLp1 -> LPC2,1,2
MeLp1 -> CB0816,1,2
MeLp1 -> LPT31,1,2
MeLp1 -> LLPC1,1,2
cLP01 -> MeLp1,1,2
MeTu2a -> Sm12,1,2
LT74 -> Li18,1,2
LT74 -> LT75,1,2
LT74 -> Li06,1,2
LT74 -> cL16,1,2
LT74 -> LC21,1,2
LT74 -> LLPC2,1,2
LT74 -> LC20b,1,2
LT74 -> LLPC3,1,2
LT74 -> cMLLP01,1,2
LT74 -> LT83,1,2
LT74 -> Li17,1,2
LT74 -> Tm5f,1,2
LC14b -> LTe66,1,2
LC6 -> LC29,1,2
LC19 -> LTe49a,1,2
LC19 -> LT79,1,2
LC19 -> Tm20,1,2
LC19 -> Li30,1,2
LC19 -> Tm25,1,2
LC19 -> Li03,1,2
LC19 -> Tm5d,1,2
LT66 -> LT82a,1,2
LT66 -> LT11,1,2
LT66 -> T5a,1,2
LC15 -> LC14b,1,2
LC15 -> LCe06,1,2
LLPC2 -> TmY10,1,2
LTe32 -> LC27,1,2
LTe32 -> cL06,1,2
LTe32 -> LT51,1,2
LC12 -> Li16,1,2
LC40 -> LC12,1,2
LC40 -> TmY9q⊥,1,2
LC10d -> LC21,1,2
LC13 -> TmY10,1,2
LLPC1 -> LC43,1,2
LPT31 -> LPT26,1,2
LC6 -> Tm34,1,2
LLPC2 -> Tm5b,1,2
MeTu4c -> MTe05,1,2
MeTu4c -> OA-AL2b1,1,2
LPLC2 -> T5b,1,2
LLPC3 -> LT74,1,2
LLPC3 -> OA-ASM1,1,2
LC31b -> LC13,1,2
LC31b -> LTe12,1,2
LC24 -> LT75,1,2
MTe54 -> Tm3,1,2
MTe54 -> cM08a,1,2
LC21 -> MC65,1,2
MTe46 -> LMa1,1,2
MTe46 -> MTe28,1,2
MTe46 -> Sm09,1,2
MTe46 -> Y11,1,2
MTe46 -> Tm8a,1,2
LT78 -> Li16,1,2
LT78 -> LMt1,1,2
LT78 -> MLt6,1,2
LT78 -> Y3,1,2
LT78 -> LC6,1,2
LT78 -> LC22,1,2
LT78 -> TmY14,1,2
LT78 -> T2a,1,2
LT78 -> Li25,1,2
LT78 -> LC21,1,2
LT78 -> LT57,1,2
LT78 -> LT77,1,2
LT78 -> LC9,1,2
LT78 -> TmY5a,1,2
LT78 -> LC12,1,2
LT78 -> LT53,1,2
aMe5 -> MLt2,1,2
cM01c -> MLt8,1,2
cM01c -> OA-ASM1,1,2
cM01c -> cM02b,1,2
cM01c -> MTe23,1,2
cM01c -> MeMe_e01,1,2
cM01c -> MeTu1,1,2
cM01c -> Tm34,1,2
cM01c -> Tm35,1,2
cM01c -> MeTu3c,1,2
LC29 -> Li21,1,2
MeTu4d -> MTe48,1,2
cLM01 -> TmY31,1,2
cLM01 -> OA-ASM1,1,2
cLM01 -> Sm29,1,2
cLM01 -> T2a,1,2
cLM01 -> LMt4,1,2
cLM01 -> Tm5c,1,2
cLM01 -> LC39,1,2
cLM01 -> MTe22,1,2
cLM01 -> Tm35,1,2
cLM01 -> Li13,1,2
cLM01 -> LLPt,1,2
cLM01 -> Li01,1,2
cLM01 -> MTe52,1,2
cLM01 -> Tm8a,1,2
cLM01 -> LMa5,1,2
cLM01 -> LC28a,1,2
cLM01 -> Li33,1,2
cLM01 -> LTe26,1,2
cLM01 -> MTe11,1,2
cLM01 -> LC37a,1,2
cLM01 -> LPLC2,1,2
cLM01 -> LC22,1,2
cLM01 -> Pm13,1,2
cLM01 -> Sm12,1,2
cLM01 -> cM14,1,2
cLM01 -> Li05,1,2
cLM01 -> Sm08,1,2
cLM01 -> LTe47,1,2
LTe64 -> Li19,1,2
LTe64 -> TmY4,1,2
LTe64 -> Li02,1,2
LPLC4 -> LT41,1,2
LPLC4 -> Tm5c,1,2
LC16 -> Li28,1,2
LT51 -> Tm8a,1,2
LT51 -> LMa1,1,2
LT51 -> cL22a,1,2
LT51 -> Li24,1,2
LLPC3 -> LTe31,1,2
LC10d -> Li28,1,2
MeTu4a -> LC9,1,2
MeTu4a -> LTe07,1,2
LCe01a -> Tm33,1,2
LCe01a -> LC25,1,2
LCe01a -> LTe55,1,2
LC27 -> LTe17,1,2
MTe08 -> Y3,1,2
MTe50 -> MeTu3b,1,2
MTe50 -> Sm24,1,2
MTe50 -> Sm29,1,2
LC14a1 -> LTe24,1,2
LC14a1 -> cL21,1,2
MTe02 -> MTe51,1,2
cM04 -> Sm38,1,2
cM04 -> TmY5a,1,2
LCe06 -> Li12,1,2
LC10d -> LC16,1,2
LC10d -> LLPt,1,2
MeTu4d -> TmY31,1,2
cLP03 -> LPTe02,1,2
cLP03 -> Sm05,1,2
cLP03 -> Tm27,1,2
aMe17a1 -> Sm25,1,2
aMe17a1 -> Sm33,1,2
aMe17a1 -> MTe25,1,2
aMe17a1 -> MTe37,1,2
aMe17a1 -> MTe22,1,2
aMe17a1 -> MLt5,1,2
aMe17a1 -> MeMe_e07,1,2
aMe17a1 -> cM09,1,2
aMe17a1 -> Mi14,1,2
aMe17a1 -> Tm8b,1,2
aMe17a1 -> Pm10,1,2
aMe17a1 -> Sm29,1,2
aMe17a1 -> Y4,1,2
aMe17a1 -> Mi1,1,2
aMe17a1 -> PDt,1,2
aMe17a1 -> OA-ASM1,1,2
aMe17a1 -> Tm5b,1,2
aMe17a1 -> TmY3,1,2
aMe17a1 -> Tm31,1,2
aMe17a1 -> Sm26,1,2
aMe17a1 -> Sm43,1,2
aMe17a1 -> Tm7,1,2
aMe17a1 -> MeMe_e10,1,2
aMe17a1 -> MTe28,1,2
aMe17a1 -> l-LNv,1,2
aMe17a1 -> Tm36,1,2
aMe17a1 -> aMe26,1,2
aMe17a1 -> cM15,1,2
aMe17a1 -> MeMe_e02,1,2
aMe17a1 -> MeMe_e04,1,2
aMe17a1 -> MeTu4c,1,2
aMe17a1 -> MTe47,1,2
aMe17a1 -> TmY31,1,2
aMe17a1 -> MeMe_e09,1,2
LPTe02 -> Y3,1,2
LPTe02 -> TmY31,1,2
LTe11 -> LC27,1,2
LTe11 -> cM09,1,2
LTe11 -> Li06,1,2
LTe11 -> Li08,1,2
LTe11 -> LT86,1,2
LTe11 -> LC10b,1,2
LTe11 -> LC16,1,2
LTe11 -> Li01,1,2
LTe11 -> LC33a,1,2
LTe11 -> LTe49a,1,2
LTe11 -> Li12,1,2
LTe11 -> LMt3,1,2
LC10c -> LTe35,1,2
LC10c -> LTe36,1,2
LTe45 -> LTe14,1,2
LTe45 -> LTe70,1,2
LTe45 -> LT69,1,2
LTe45 -> LTe06,1,2
LTe45 -> LTe48,1,2
LTe45 -> MC65,1,2
LTe45 -> LTe03,1,2
LTe45 -> LCe07,1,2
LTe45 -> Li33,1,2
LTe45 -> LC19,1,2
LTe45 -> Li08,1,2
LT70 -> Li28,1,2
LT70 -> LT52,1,2
LT70 -> cM07,1,2
LT70 -> Tm32,1,2
LT70 -> Tm8a,1,2
LT70 -> uncertain,1,2
LT70 -> Li16,1,2
LPLC4 -> Tm27,1,2
LC29 -> LT74,1,2
aMe22 -> aMe4,1,2
aMe22 -> MLt1,1,2
aMe22 -> aMe26,1,2
aMe22 -> Sm02,1,2
aMe22 -> cM08b,1,2
aMe22 -> PLP239,1,2
aMe22 -> MTe30,1,2
aMe22 -> aMe5,1,2
aMe22 -> Sm29,1,2
aMe22 -> DNpe053,1,2
aMe22 -> MTe46,1,2
aMe22 -> MeLp1,1,2
aMe22 -> MTe01a,1,2
aMe22 -> MTe26,1,2
MTe05 -> cL10,1,2
LC13 -> cL02b,1,2
LC9 -> LTe21,1,2
LC24 -> LC11,1,2
LC24 -> Tm5e,1,2
LC24 -> TmY4,1,2
LC14b -> PLP068,1,2
LC14b -> cL11,1,2
LC14b -> MLt1,1,2
MeTu4a -> Tm36,1,2
LC15 -> LC24,1,2
LC15 -> LTe08,1,2
LC15 -> LC29,1,2
LPC2 -> Nod3,1,2
LPC2 -> PLP023,1,2
LC21 -> TmY31,1,2
LC21 -> LT83,1,2
LC10d -> LT84,1,2
MeTu4b -> LC28a,1,2
cL01 -> Li32,1,2
cL01 -> DNp27,1,2
cL01 -> LC20b,1,2
LPTe01 -> LPC2,1,2
MTe52 -> Tm20,1,2
LPLC4 -> LC40,1,2
